,geo,time,child_mortality_0_5_year_olds_dying_per_1000_born
900,alb,2098,2.14
901,alb,2099,2.11
902,alb,2100,2.11
903,and,1950,76.93
904,and,1951,73.95
905,and,1952,68.19
906,and,1953,62.84
907,and,1954,57.9
908,and,1955,53.36
909,and,1956,49.23
910,and,1957,45.49
911,and,1958,42.16
912,and,1959,39.22
913,and,1960,36.65
914,and,1961,34.45
915,and,1962,32.57
916,and,1963,30.99
917,and,1964,29.64
918,and,1965,28.49
919,and,1966,27.49
920,and,1967,26.62
921,and,1968,25.85
922,and,1969,25.12
923,and,1970,24.4
924,and,1971,23.68
925,and,1972,22.94
926,and,1973,22.2
927,and,1974,21.45
928,and,1975,20.68
929,and,1976,19.88
930,and,1977,19.07
931,and,1978,18.28
932,and,1979,17.51
933,and,1980,16.8
934,and,1981,16.17
935,and,1982,15.63
936,and,1983,15.19
937,and,1984,14.84
938,and,1985,14.58
939,and,1986,13.72
940,and,1987,12.91
941,and,1988,12.18
942,and,1989,11.46
943,and,1990,10.8
944,and,1991,10.19
945,and,1992,9.63
946,and,1993,9.09
947,and,1994,8.58
948,and,1995,8.11
949,and,1996,7.69
950,and,1997,7.32
951,and,1998,6.97
952,and,1999,6.68
953,and,2000,6.41
954,and,2001,6.16
955,and,2002,5.93
956,and,2003,5.71
957,and,2004,5.49
958,and,2005,5.27
959,and,2006,5.05
960,and,2007,4.84
961,and,2008,4.62
962,and,2009,4.39
963,and,2010,4.18
964,and,2011,3.98
965,and,2012,3.79
966,and,2013,3.61
967,and,2014,3.43
968,and,2015,3.27
969,and,2016,3.14
970,and,2017,3.01
971,and,2018,2.89
972,and,2019,2.87
973,and,2020,2.85
974,and,2021,2.82
975,and,2022,2.79
976,and,2023,2.77
977,and,2024,2.75
978,and,2025,2.72
979,and,2026,2.67
980,and,2027,2.62
981,and,2028,2.57
982,and,2029,2.52
983,and,2030,2.47
984,and,2031,2.43
985,and,2032,2.38
986,and,2033,2.33
987,and,2034,2.28
988,and,2035,2.24
989,and,2036,2.2
990,and,2037,2.15
991,and,2038,2.11
992,and,2039,2.07
993,and,2040,2.03
994,and,2041,2.0
995,and,2042,1.96
996,and,2043,1.92
997,and,2044,1.89
998,and,2045,1.86
999,and,2046,1.82
1000,and,2047,1.79
1001,and,2048,1.76
1002,and,2049,1.73
1003,and,2050,1.7
1004,and,2051,1.67
1005,and,2052,1.64
1006,and,2053,1.61
1007,and,2054,1.58
1008,and,2055,1.56
1009,and,2056,1.53
1010,and,2057,1.5
1011,and,2058,1.47
1012,and,2059,1.45
1013,and,2060,1.43
1014,and,2061,1.4
1015,and,2062,1.38
1016,and,2063,1.35
1017,and,2064,1.33
1018,and,2065,1.31
1019,and,2066,1.29
1020,and,2067,1.27
1021,and,2068,1.25
1022,and,2069,1.23
1023,and,2070,1.21
1024,and,2071,1.18
1025,and,2072,1.17
1026,and,2073,1.15
1027,and,2074,1.13
1028,and,2075,1.11
1029,and,2076,1.09
1030,and,2077,1.08
1031,and,2078,1.06
1032,and,2079,1.04
1033,and,2080,1.02
1034,and,2081,1.01
1035,and,2082,0.99
1036,and,2083,0.97
1037,and,2084,0.96
1038,and,2085,0.94
1039,and,2086,0.93
1040,and,2087,0.91
1041,and,2088,0.9
1042,and,2089,0.88
1043,and,2090,0.87
1044,and,2091,0.86
1045,and,2092,0.84
1046,and,2093,0.83
1047,and,2094,0.81
1048,and,2095,0.8
1049,and,2096,0.79
1050,and,2097,0.78
1051,and,2098,0.77
1052,and,2099,0.76
1053,and,2100,0.76
1054,are,1800,434.46
1055,are,1801,434.46
1056,are,1802,434.46
1057,are,1803,434.46
1058,are,1804,434.46
1059,are,1805,434.46
1060,are,1806,434.46
1061,are,1807,434.46
1062,are,1808,434.46
1063,are,1809,434.46
1064,are,1810,434.46
1065,are,1811,434.46
1066,are,1812,434.46
1067,are,1813,434.46
1068,are,1814,434.46
1069,are,1815,434.46
1070,are,1816,434.46
1071,are,1817,434.46
1072,are,1818,434.46
1073,are,1819,434.46
1074,are,1820,434.46
1075,are,1821,434.46
1076,are,1822,434.46
1077,are,1823,434.46
1078,are,1824,434.46
1079,are,1825,434.46
1080,are,1826,434.46
1081,are,1827,434.46
1082,are,1828,434.46
1083,are,1829,434.46
1084,are,1830,434.46
1085,are,1831,434.46
1086,are,1832,434.46
1087,are,1833,434.46
1088,are,1834,434.46
1089,are,1835,434.46
1090,are,1836,434.46
1091,are,1837,434.46
1092,are,1838,434.46
1093,are,1839,434.46
1094,are,1840,434.46
1095,are,1841,434.46
1096,are,1842,434.46
1097,are,1843,434.46
1098,are,1844,434.46
1099,are,1845,434.46
1100,are,1846,434.46
1101,are,1847,434.46
1102,are,1848,434.46
1103,are,1849,434.46
1104,are,1850,434.46
1105,are,1851,434.46
1106,are,1852,434.46
1107,are,1853,434.46
